"BathingwaterStationId";"Name";"Latitude";"Longitude";"Location";"Responsible";"Type";"WaterType";"WaterArea";"WaterAreaNumber";"Started";"Closed";"BlueFlag";"ProfileUrl";"Main"
"03718ea9-8d6e-4fc9-861c-787f8b69af83";"Blykobbe";"55,14171700950793";"14,706786781445615";"";"Bornholms Regionskommune";"Badevandsstation";"Marin";"Bornholm 12 sm";"DK_Coast58";"01.01.1970 00.00.00";"";"False";"https://b0301proddatasto.blob.core.windows.net/files/ru2qojjq.pdf";""
"41ce3ce3-c480-4efc-83e1-883c229b6d0e";"Bådsted";"55,23340327283296";"14,88002680106149";"";"Bornholms Regionskommune";"Badevandsstation";"Marin";"Mangler";"Mangler";"01.01.1974 00.00.00";"01.01.1999 00.00.00";"False";"";""
"46f9325c-b8f4-4c3c-a49d-6ec8c48fb6af";"Grisby 555";"55,1220229134341";"15,148644080168342";"";"Bornholms Regionskommune";"Kontrolstation";"Marin";"Mangler";"Mangler";"01.01.1990 00.00.00";"01.01.1998 00.00.00";"False";"";""
"5074eb80-c21d-42a0-befc-6d57d990c44d";"Rønne 200 m Syd";"55,08689232777814";"14,702655250527007";"";"Bornholms Regionskommune";"Badevandsstation";"Marin";"Mangler";"Mangler";"01.01.1969 00.00.00";"01.01.1999 00.00.00";"False";"";""
"92cd9d75-d2c8-4e11-9b25-6982a172e04e";"Lufthavnen";"55,0587154037621";"14,760629772545725";"";"Bornholms Regionskommune";"Badevandsstation";"Marin";"Mangler";"Mangler";"01.01.1974 00.00.00";"01.01.1999 00.00.00";"False";"";""
"373a51ac-eeeb-41ba-9338-089c8b80bf85";"Nørrekås";"55,104671275305655";"14,69593152953592";"";"Bornholms Regionskommune";"Badevandsstation";"Marin";"Bornholm 12 sm";"DK_Coast58";"01.01.1992 00.00.00";"";"False";"https://b0301proddatasto.blob.core.windows.net/files/eygrsy55.pdf";""
"ec054d42-a765-4d7b-92f1-0e39dd30f60e";"Frydenlund";"55,11384807093604";"14,701983958429642";"";"Bornholms Regionskommune";"Badevandsstation";"Marin";"Mangler";"Mangler";"01.01.1969 00.00.00";"01.01.1999 00.00.00";"False";"";""
"0880e359-7a3f-4cc5-8788-0f6a03bb9822";"Grisby 550";"55,120045018072474";"15,14769493125138";"";"Bornholms Regionskommune";"Kontrolstation";"Marin";"Mangler";"Mangler";"01.01.1990 00.00.00";"01.01.1998 00.00.00";"False";"";""
"6dd4d138-89db-4f29-9f1a-01fc08b8d232";"Stenodde";"54,99684665796161";"15,010934958041636";"";"Bornholms Regionskommune";"Badevandsstation";"Marin";"Mangler";"Mangler";"01.01.1971 00.00.00";"01.01.1999 00.00.00";"False";"";""
"32dc230a-094d-45c7-94bd-023283f822d6";"Grisby 535";"55,116453116362706";"15,14643427336978";"";"Bornholms Regionskommune";"Kontrolstation";"Marin";"Mangler";"Mangler";"01.01.1990 00.00.00";"31.12.2001 00.00.00";"False";"";""
